session,name,fppcId
2023,ALLIANCE FOR SOLAR CHOICE 'TASC'; THE,1441821
2023,AMERICAN CIVIL LIBERTIES UNION OF NORTHERN CALIFORNIA,1439791
2023,BLUE SHIELD OF CALIFORNIA FOUNDATION,1439197
2023,"BRAESWOOD CARBON PARTNERS, LP",1444222
2023,CAL-ORE TELEPHONE COMPANY,1405445
2023,CALAVERAS TELEPHONE COMPANY,1396091
2023,CALIFORNIA CHARTER SCHOOLS ASSOCIATION,1418078
2023,CALIFORNIA ENDOWMENT; THE,1302208
2023,CALIFORNIA ENERGY AND INFRASTRUCTURE LABOR MANAGEMENT COOPERATION TRUST,1439949
2023,CALIFORNIANS AGAINST HIGHER TAXES,1319860
2023,CALIFORNIANS FOR AFFORDABLE AND RELIABLE ENERGY (CARE),1397855
2023,CALIFORNIANS FOR ENERGY INDEPENDENCE,1368757
2023,CALOMA - CALIFORNIA LABOR OIL MANAGEMENT ALLIANCE,1438059
2023,COMMUNITY WATER CENTER ACTION FUND AND AFFILIATED ENTITY COMMUNITY WATER CENTER,1442003
2023,CONVENTION OF STATES ACTION,1439710
2023,"DAVIES, MATT",1460883
2023,DUCOR TELEPHONE COMPANY,1405469
2023,ECOLOGY AUTO PARTS,1354858
2023,EDEN CARE CE,1460212
2023,EDUCATION COALITION; THE,1303365
2023,ENDLESS PURSUIT CORP,1455996
2023,EQUAL RIGHTS ADVOCATES,1437784
2023,FINITE CARBON,1447939
2023,FORESTHILL TELEPHONE CO (DBA SEBASTIAN),1405418
2023,GOLDEN STATE COMMUNITIES,1455913
2023,GREENPEACE INC.,1426360
2023,"INTERNATIONAL UNION, UAW",1460220
2023,KERMAN TELEPHONE CO (DBA SEBASTIAN),1405417
2023,LAS VIRGENES MUNICIPAL WATER DISTRICT,1396702
2023,MILLION VOTER PROJECT ACTION FUND,1460004
2023,MY FRIENDS,1417978
2023,NO ON AB 1228 - STOP THE ATTACK ON LOCAL RESTAURANTS,1459716
2023,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,1450868
2023,PACIFIC ENVIRONMENT,1460178
2023,PICO CALIFORNIA,1419888
2023,POLICYLINK,1244005
2023,"PONDEROSA TELEPHONE COMPANY, THE",1396247
2023,PUBLIC ADVOCATES,1357454
2023,REBUILD SOCAL PARTNERSHIP,1460054
2023,RG ENVIRONMENTAL HOLDINGS INC.,1392082
2023,SEIU UNITED HEALTHCARE WORKERS WEST,1276614
2023,SERVICE EMPLOYEES INTERNATIONAL UNION,1256591
2023,SIERRA TELEPHONE COMPANY,1306660
2023,SIMS METAL MANAGEMENT,1318031
2023,SISKIYOU TELEPHONE COMPANY,1396090
2023,SIXTEEN THIRTY FUND,1437356
2023,SOQUEL CREEK WATER DISTRICT,1395665
2023,SOUTHWEST REGIONAL COUNCIL OF CARPENTERS,1288413
2023,TDS TELECOM,1405283
2023,THE PROTECT OUR COMMUNITIES FOUNDATION,1460444
2023,"UNIVERSAL SERVICE RECYCLING, INC.",1441782
2023,VOLCANO TELEPHONE COMPANY,1396213
2021,ABSOLUTE BONDING CORP.,1456035
2021,"ACTION NOW INITIATIVE, INC.",1370070
2021,ACTWIRELESS,1439340
2021,AFFORDABLE FOOD FOR ALL,1438004
2021,"AIA HOLDINGS, INC.",1441664
2021,ALCHEMIST CDC,1451510
2021,"ALL ONE GOD FAITH, INC. D/B/A/ DR. BRONNER'S MAGIC SOAP",1450269
2021,ALLIANCE FOR SOLAR CHOICE 'TASC'; THE,1441821
2021,ALPINE INVESTORS,1412710
2021,AMERICAN CIVIL LIBERTIES UNION OF NORTHERN CALIFORNIA,1439791
2021,AMERICAN CIVIL LIBERTIES UNION OF SOUTHERN CALIFORNIA,1439715
2021,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES LOCAL 1902,1439741
2021,AMERICAN SURETY COMPANY,1441662
2021,AMERICAN TORT REFORM ASSOCIATION,1420002
2021,AVAAZ FOUNDATION,1448428
2021,AZUSA PACIFIC UNIVERSITY,1435863
2021,BANKERS SURETY SERVICES,1441653
2021,"BEAZER HOMES USA, INC.",1396029
2021,BIOLA UNIVERSITY,1399830
2021,BLUE SHIELD OF CALIFORNIA FOUNDATION,1439197
2021,"BRAESWOOD CARBON PARTNERS, LP",1444222
